Group,Maths,Physics,English,Economics,Biology
56,46,91,56,67,82
56,95,96,32,58,80
56,41,61,70,60,19
56,24,76,10,65,19
56,78,55,84,95,47
56,84,97,77,55,11
56,45,92,95,84,66
56,53,85,37,92,21
56,98,47,67,86,76
56,43,80,23,74,82
56,15,52,44,58,49
56,56,85,30,86,39
56,14,89,53,61,43
56,40,55,24,57,85
57,74,48,26,90,14
57,87,42,84,59,87
57,83,55,86,93,48
57,95,99,75,88,69
57,38,92,86,92,12
57,22,58,49,83,62
57,11,70,33,70,50
57,29,40,82,79,24
57,39,97,13,70,64
57,82,47,83,71,52
57,65,26,30,91,96
57,43,26,69,61,55
57,71,27,37,63,77
57,79,97,91,84,20
57,48,12,46,54,19
57,96,24,34,94,69
58,32,68,32,71,33
58,46,38,69,56,65
58,93,66,78,92,36
58,56,20,98,93,95
58,86,57,58,98,67
58,98,44,52,81,29
58,89,91,40,85,82
58,28,69,94,90,96
58,71,79,43,71,56
58,21,35,43,91,26
58,10,76,99,90,39
58,90,62,54,95,26
58,34,20,76,99,62
58,40,38,33,84,31
58,12,45,76,70,73
58,19,34,90,89,23
58,92,63,69,83,99
59,64,72,92,88,21
59,96,27,24,65,17
59,67,76,35,88,80
59,14,71,85,71,19
59,91,78,71,76,11
59,57,62,77,68,25
59,79,86,48,70,22
59,29,58,79,66,25
59,35,65,91,93,58
59,93,62,24,86,32
59,41,26,11,67,79
59,80,76,86,92,54
59,84,29,42,61,65
59,57,33,79,75,14
59,34,50,88,97,18
60,26,28,26,98,37
60,71,79,70,78,66
60,35,54,31,86,44
60,56,42,87,93,74
60,49,38,71,82,29
60,70,69,82,82,58
60,73,82,40,89,97
60,56,91,88,55,45
60,40,80,44,70,65
60,15,31,96,91,28
60,49,61,22,90,16
60,76,81,58,72,46
60,95,23,52,70,42
60,79,80,20,62,84
60,95,83,28,91,78
60,41,66,53,78,36
61,73,59,65,82,97
61,45,94,84,97,76
61,95,51,69,86,68
61,16,49,85,76,64
61,49,49,56,55,56
61,44,38,92,55,24
61,64,24,70,96,90
61,87,94,93,71,13
61,16,25,49,96,51
61,43,74,82,99,28
61,12,87,44,70,26
61,66,46,75,63,92
61,51,19,56,88,92
61,45,88,69,65,68
61,63,70,53,76,66
61,53,69,65,54,78
61,72,70,69,62,68
61,57,95,87,96,91
61,90,51,65,70,49
61,78,10,40,97,81
62,62,70,25,60,21
62,17,73,67,86,41
62,28,65,89,76,59
62,36,27,98,71,39
62,58,66,76,78,25
62,60,72,31,71,76
62,89,31,65,74,74
62,78,95,92,80,61
62,13,87,48,70,29
62,41,11,21,89,48
62,72,21,86,88,52
62,97,47,82,60,36
62,37,45,28,71,42
62,17,61,39,95,42
62,34,12,99,77,55
62,35,82,78,96,84
62,93,44,99,70,72
63,18,53,96,98,80
63,34,28,84,70,89
63,93,51,85,89,15
63,73,66,35,74,72
63,37,64,59,55,18
63,40,64,79,76,96
63,62,60,23,77,40
63,60,35,83,73,18
63,24,75,67,69,60
63,70,48,62,84,48
63,59,80,30,76,88
63,21,53,75,56,43
63,61,46,29,60,30
63,72,17,62,60,51
64,25,52,81,75,36
64,19,92,96,67,69
64,89,46,22,66,52
64,88,88,20,87,16
64,72,53,78,59,30
64,42,72,70,96,32
64,64,19,19,91,57
64,90,96,30,76,40
64,89,91,86,99,19
64,69,44,55,90,89
64,76,94,13,78,94
64,15,15,91,91,49
64,82,48,47,78,50
64,42,77,30,81,48
64,23,70,20,68,77
65,74,18,73,77,74
65,30,31,55,83,63
65,80,28,93,89,35
65,81,95,59,66,95
65,23,40,96,66,37
65,42,58,16,81,50
65,44,49,91,88,24
65,54,22,96,69,94
65,14,79,63,72,78
65,76,60,84,77,77
65,32,51,73,61,40
